cultivar,source,state,county,sample_id,sample_date,sample_year,total_cbd,total_thc,total_cbg,cbd_thc_ratio
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Grant,694, Oct 5,2020,3.03,0.13,0.17,24.09
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Grant,728, Oct 12,2020,2.11,0.22,0.14,9.68
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,408, Sep 7,2020,2.54,0.14,0.15,18.57
Colorado Cherry, Wisconsin Hemp Kings,Wisconsin, Dane,557, Sep 21,2020,2.98,0.12,0.24,24.95
Constance, Hemp 4 heros (H4H),Wisconsin, Dodge,311, Aug 30,2020,5.82,0.25,0.25,23.03
Constance, Hemp 4 heros (H4H),Wisconsin, Dodge,312, Aug 30,2020,6.65,0.29,0.27,22.63
Constance, Hemp 4 heros (H4H),Wisconsin, Dodge,207, Jul 27,2020,3.6,0.18,0.15,20.04
Constance, Hemp 4 heros (H4H),Wisconsin, Dodge,36, Sep 24,2020,9.28,0.35,0.34,26.49
Dream Tonic 5, High Alpine Genetics,Indiana, Delaware,397, Sep 8,2020,3.93,0.17,0.15,23.2
Dream Tonic 5, High Alpine Genetics,Indiana, Delaware,473, Sep 14,2020,4.8,0.19,0.19,24.73
Dream Tonic 5, High Alpine Genetics,Indiana, Delaware,274, Aug 24,2020,1.8,0.09,0.06,19.59
EPG, Eastern Plains Hemp,Wisconsin, Columbia,30, Sep 21,2020,7.67,0.57,0.68,13.46
EPG, Eastern Plains Hemp,Wisconsin, Walworth,113, Oct 15,2020,7.41,0.24,0.47,30.37
EPG, Eastern Plains Hemp,Wisconsin, Walworth,662, Oct 1,2020,7.25,0.28,0.63,25.48
EPG, Eastern Plains Hemp,Wisconsin, Columbia,428, Sep 11,2020,2.98,0.11,0.04,27.01
EPG, Eastern Plains Hemp,Wisconsin, Walworth,520, Sep 17,2020,4.71,1.64,0.62,2.87
EPG, Eastern Plains Hemp,Wisconsin, Columbia,257, Aug 24,2020,1.88,0.25,0.15,7.52
Early Nueve, Beacon Hemp,Wisconsin, Walworth,423, Sep 11,2020,5.55,0.23,0.25,23.78
Early Nueve, Beacon Hemp,Wisconsin, Columbia,433, Sep 11,2020,1.82,0.12,0.04,15.45
Early Nueve, Beacon Hemp,Wisconsin, Columbia,24, Sep 21,2020,8.07,0.32,0.48,25.53
Early Nueve, Beacon Hemp,Wisconsin, Walworth,291, Aug 27,2020,5.1,0.22,0.39,23.49
Early Nueve, Beacon Hemp,Wisconsin, Walworth,37, Sep 24,2020,5.82,0.25,0.38,23.38
Early Nueve, Beacon Hemp,Wisconsin, Columbia,264, Aug 24,2020,8.46,0.35,0.63,23.95
Early Spectrum, Beacon Hemp,Wisconsin, Walworth,603, Sep 24,2020,7.35,0.3,0.55,24.56
Early Spectrum, Beacon Hemp,Wisconsin, Columbia,459, Sep 14,2020,6.36,0.23,0.29,27.38
Early Spectrum, Beacon Hemp,Wisconsin, Columbia,53, Sep 28,2020,12.89,0.44,0.54,29.14
Early Spectrum, Beacon Hemp,Wisconsin, Walworth,88, Oct 7,2020,7.63,0.29,0.41,26.03
Early Spectrum, Beacon Hemp,Wisconsin, Columbia,340, Sep 1,2020,3.49,0.16,0.2,21.19
Early Spectrum, Beacon Hemp,Wisconsin, Walworth,421, Sep 11,2020,6.52,0.27,0.29,24.14
Eclipse, Future Farm Hemp,Wisconsin, Eau Claire,61, Sep 30,2020,6.03,0.23,0.24,26.02
Eclipse, Future Farm Hemp,Wisconsin, Eau Claire,369, Sep 3,2020,2.47,0.13,0.18,19.51
Eclipse, Future Farm Hemp,Wisconsin, Eau Claire,567, Sep 17,2020,4.8,0.2,0.34,24.49
Eighty Eight, Davis Hemp Farms,Wisconsin, Walworth,120, Oct 15,2020,4.61,0.17,0.27,27.49
Eighty Eight, Davis Hemp Farms,Wisconsin, Columbia,430, Sep 11,2020,2.69,0.11,0.1,23.59
Eighty Eight, Davis Hemp Farms,Wisconsin, Columbia,562, Sep 21,2020,4.66,0.19,0.31,24.15
Eighty Eight, Davis Hemp Farms,Michigan, Kent,498, Sep 14,2020,6.42,0.24,0.24,26.22
Eighty Eight, Davis Hemp Farms,Michigan, Kent,44, Sep 21,2020,9.19,0.35,0.35,26.19
Eighty Eight, Davis Hemp Farms,Michigan, Kent,166, Oct 21,2020,9.03,0.3,0.25,30.55
Eighty Eight, Davis Hemp Farms,Michigan, Kent,152, Sep 30,2020,8.59,0.32,0.15,27.2
Eighty Eight, Davis Hemp Farms,Wisconsin, Columbia,71, Oct 5,2020,6.94,0.23,0.29,29.79
Eighty Eight, Davis Hemp Farms,Wisconsin, Walworth,682, Oct 1,2020,4.08,0.16,0.25,25.78
Eighty Eight, Davis Hemp Farms,Wisconsin, Walworth,531, Sep 17,2020,2.14,0.1,0.18,20.45
Elektra, Oregon CBD,Illinois, Will,307, Sep 1,2020,4.32,0.21,0.19,20.93
Eugenius CBD Blue Genius, Whispering Creek,Illinois, Madison,242, Aug 18,2020,2.36,0.12,0.23,19.95
Eugenius CBD Blue Genius, Whispering Creek,Illinois, Madison,241, Aug 18,2020,2.87,0.17,0.26,17.32
Eugenius CBD Blue Genius, Whispering Creek,Illinois, Madison,2, Sep 4,2020,9.74,0.4,0.35,24.14
Eugenius CBD Blue Genius, Whispering Creek,Illinois, Madison,196, Nov 10,2020,8.34,0.35,0.12,23.95
FL49, Sunrise Genetics,Wisconsin, Columbia,632, Sep 28,2020,8.6,0.28,0.17,30.3
FL49, Sunrise Genetics,Wisconsin, Walworth,527, Sep 17,2020,5.01,0.21,0.27,24.02
FL49, Sunrise Genetics,Wisconsin, Walworth,110, Oct 15,2020,10.33,0.35,0.21,29.9
FL49, Sunrise Genetics,Wisconsin, Walworth,663, Oct 1,2020,8.26,0.34,0.34,24.04
FL49, Sunrise Genetics,Wisconsin, Columbia,98, Oct 13,2020,11.8,0.41,0.26,28.91
FL49, Sunrise Genetics,Wisconsin, Walworth,663, Oct 1,2020,8.26,0.34,0.34,24.04
FL58, Sunrise Genetics,Wisconsin, Walworth,115, Oct 15,2020,8.84,0.32,0.42,27.24
FL58, Sunrise Genetics,Wisconsin, Columbia,99, Oct 13,2020,10.1,0.35,0.44,28.91
FL58, Sunrise Genetics,Wisconsin, Walworth,669, Oct 1,2020,8.85,0.33,0.48,26.83
FL58, Sunrise Genetics,Wisconsin, Columbia,465, Sep 14,2020,4.19,0.14,0.16,30.25
FL58, Sunrise Genetics,Wisconsin, Walworth,530, Sep 17,2020,4.96,0.23,0.37,21.27
FL58, Sunrise Genetics,Wisconsin, Columbia,631, Sep 28,2020,5.94,0.18,0.28,32.26
FL70, Sunrise Genetics,Wisconsin, Columbia,629, Sep 28,2020,9.64,0.31,0.37,31.21
FL70, Sunrise Genetics,Wisconsin, Walworth,105, Oct 15,2020,10.02,0.32,0.28,31.4
FL70, Sunrise Genetics,Wisconsin, Columbia,95, Oct 13,2020,13.7,0.48,0.55,28.53
FL70, Sunrise Genetics,Wisconsin, Columbia,457, Sep 14,2020,4.35,0.15,0.2,28.71
FL70, Sunrise Genetics,Wisconsin, Walworth,517, Sep 17,2020,6.02,0.26,0.42,23.56
FL70, Sunrise Genetics,Wisconsin, Walworth,673, Oct 1,2020,10.16,0.39,0.42,26.18
FL71, Sunrise Genetics,Wisconsin, Columbia,126, Oct 19,2020,9.76,0.33,0.23,29.33
FL71, Sunrise Genetics,Wisconsin, Columbia,125, Oct 19,2020,6.74,0.24,0.14,28.24
FL71, Sunrise Genetics,Wisconsin, Walworth,608, Sep 24,2020,3.8,0.15,0.26,24.9
FL71, Sunrise Genetics,Wisconsin, Walworth,103, Oct 15,2020,5.18,0.19,1.41,27.99
FL71, Sunrise Genetics,Wisconsin, Columbia,564, Sep 21,2020,3.1,0.11,0.18,27.9
FL71, Sunrise Genetics,Wisconsin, Walworth,678, Oct 1,2020,0.79,0.11,3.29,7.17
FL71, Sunrise Genetics,Wisconsin, Columbia,701, Oct 5,2020,8.65,0.3,0.21,28.67
FL71, Sunrise Genetics,Wisconsin, Walworth,719, Oct 7,2020,6.16,0.21,0.3,28.77
FL71, Sunrise Genetics,Wisconsin, Walworth,533, Sep 17,2020,1.43,0.08,1.13,18.21
FL71, Sunrise Genetics,Wisconsin, Columbia,560, Sep 21,2020,3.26,0.14,0.2,23.62
FL71, Sunrise Genetics,Wisconsin, Columbia,699, Oct 5,2020,6.59,0.23,0.15,28.16
FL71, Sunrise Genetics,Wisconsin, Walworth,132, Oct 22,2020,7.5,0.26,0.16,28.32
FL80, Sunrise Genetics,Wisconsin, Columbia,127, Oct 19,2020,9.26,0.32,0.43,28.74
FL80, Sunrise Genetics,Wisconsin, Walworth,611, Sep 24,2020,6.71,0.25,0.45,27.23
FL80, Sunrise Genetics,Wisconsin, Walworth,718, Oct 7,2020,9.5,0.34,0.5,28.11
FL80, Sunrise Genetics,Wisconsin, Columbia,702, Oct 5,2020,7.87,0.28,0.36,28.07
FL80, Sunrise Genetics,Wisconsin, Walworth,134, Oct 22,2020,10.51,0.39,0.28,26.93
FL80, Sunrise Genetics,Wisconsin, Columbia,33, Sep 21,2020,3.77,0.16,0.25,24.1
Florence, Infinite Tree,Wisconsin, Columbia,466, Sep 14,2020,2.58,0.1,0.16,24.72
Florence, Infinite Tree,Wisconsin, Walworth,109, Oct 15,2020,5.77,0.21,0.43,27.36
Florence, Infinite Tree,Wisconsin, Walworth,664, Oct 1,2020,5.44,0.25,0.36,21.93
Florence, Infinite Tree,Wisconsin, Columbia,46, Sep 28,2020,5.95,0.19,0.42,30.87
Florence, Infinite Tree,Wisconsin, Walworth,532, Sep 17,2020,2.63,0.12,0.25,22.65
Florence, Infinite Tree,Wisconsin, Columbia,338, Sep 1,2020,2.34,0.11,0.19,20.72
Franklin, Whispering Creek,Illinois, Madison,495, Sep 11,2020,3.12,0.15,0.16,20.68
Frosted Lime 2019, Phytonyx,Illinois, Warren,738, Oct 7,2020,3.69,0.1,0.13,37.73
Frosted Lime 2019, Phytonyx,Illinois, Warren,689, Sep 30,2020,9.54,0.36,0.38,26.52
Frosted Lime 2020, Phytonyx,Illinois, Warren,737, Oct 7,2020,4.22,0.11,0.1,38.28
Frosted Lime 2020, Phytonyx,Illinois, Warren,205, Nov 13,2020,9.11,0.32,0.5,28.91
Grape Soda, Colorado Hemp Project,Illinois, Warren,741, Oct 7,2020,3.96,0.14,0.1,29.12
Hawaiian Haze, Oregon CBD,Illinois, Warren,651, Sep 27,2020,8.6,0.42,0.14,20.24
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,222, Aug 12,2020,2.7,0.12,0.15,21.98
Hawaiian Haze, GreenThumb Alternatives,Wisconsin, Wood,211, Aug 11,2020,6.41,0.31,0.14,20.84
Hawaiian Haze, Oregon CBD,Illinois, Warren,732, Oct 12,2020,3.13,0.07,0.13,45.58
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,383, Sep 8,2020,11.63,0.46,0.61,25.07
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,370, Sep 3,2020,6.62,0.27,0.5,24.61
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,184, Nov 3,2020,17,0.61,0.27,28.07
Hawaiian Haze, Oregon CBD,Illinois, Warren,545, Sep 14,2020,2.96,0.16,0.12,18.64
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,168, Oct 26,2020,15.58,0.56,0.31,28.07
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,554, Sep 21,2020,11.68,0.49,0.44,24.07
Hawaiian Haze, High Plains Crop Production,Illinois, Madison,546, Sep 15,2020,1.19,0.11,0.05,11.08
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,82, Oct 6,2020,13.97,0.51,0.29,27.46
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,161, Oct 19,2020,15.34,0.57,0.37,26.9
Hawaiian Haze, Oregon CBD,Wisconsin, Manitowoc,319, Aug 30,2020,7.17,0.3,0.45,23.97
Hawaiian Haze, Oregon CBD,Illinois, Will,306, Sep 1,2020,4,0.2,0.25,19.73
Hawaiian Haze, High Plains Crop Production,Illinois, Madison,145, Oct 28,2020,8.52,0.2,0.38,43.33
Hempress 3, Seedified,Wisconsin, Columbia,29, Sep 21,2020,7.41,0.3,0.43,24.57
Hempress 3, Seedified,Wisconsin, Walworth,106, Oct 15,2020,5.78,0.24,1.45,24.26
Hempress 3, Seedified,Wisconsin, Walworth,534, Sep 17,2020,3.75,0.17,0.63,22.12
Hempress 3, Seedified,Wisconsin, Columbia,435, Sep 11,2020,3.03,0.14,0.09,21.03
Hempress 3, Seedified,Wisconsin, Walworth,671, Oct 1,2020,6.29,0.24,0.26,26.69
Hot Blonde, Blue Forest Farms,Wisconsin, Walworth,717, Oct 7,2020,7.4,0.26,0.46,28.72
Hot Blonde, Blue Forest Farms,Wisconsin, Columbia,335, Sep 1,2020,2.26,0.13,0.12,17.16
Hot Blonde, Blue Forest Farms,Wisconsin, Columbia,151, Sep 28,2020,6.8,0.26,0.1,26.61
Hot Blonde, Blue Forest Farms,Wisconsin, Columbia,470, Sep 14,2020,3.5,0.16,0.13,21.32
Hot Blonde, Blue Forest Farms,Wisconsin, Walworth,137, Oct 22,2020,7.53,0.11,0.17,69.76
Hot Blonde, Blue Forest Farms,Wisconsin, Walworth,616, Sep 24,2020,4.9,0.21,0.41,23.63
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,230, Aug 18,2020,2.16,0.11,0.09,20.41
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,215, Aug 10,2020,1.88,0.09,0.07,20.16
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,104, Oct 15,2020,6.44,0.2,0.24,31.71
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,681, Oct 1,2020,4.92,0.22,0.19,22.17
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,528, Sep 17,2020,4.11,0.22,0.23,18.69
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,723, Oct 7,2020,8.18,0.3,0.31,27.31
Hybrid #5, Front Range Biosciences,Illinois, Kane,360, Aug 31,2020,2.19,0.12,0.07,18.48
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,347, Sep 1,2020,2.02,0.13,0.07,15.04
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,346, Sep 1,2020,3.39,0.16,0.16,20.98
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,422, Sep 11,2020,5.51,0.24,0.18,22.99
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,463, Sep 14,2020,4.18,0.15,0.15,27.91
Hybrid #5, Front Range Biosciences,Wisconsin, Walworth,606, Sep 24,2020,7.56,0.34,0.44,22.57
Hybrid #5, Front Range Biosciences,Illinois, Kane,653, Sep 28,2020,10.2,0.08,0.2,123.03
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,16, Sep 14,2020,5.09,0.19,0.23,27.07
Hybrid #5, Front Range Biosciences,Wisconsin, Columbia,50, Sep 28,2020,9.04,0.37,0.35,24.68
Hybrid #9, Front Range Biosciences,Wisconsin, Fond du Lac,249, Aug 20,2020,2.6,0.12,0.15,21.31
Hybrid #9, Front Range Biosciences,Wisconsin, Columbia,436, Sep 11,2020,7.44,0.26,0.33,28.15
Hybrid #9, Front Range Biosciences,Wisconsin, Walworth,111, Oct 15,2020,7.48,0.24,0.3,31.64
Hybrid #9, Front Range Biosciences,Wisconsin, Fond du Lac,217, Aug 11,2020,2.67,0.13,0.15,20.07
Hybrid #9, Front Range Biosciences,Wisconsin, Fond du Lac,729, Oct 13,2020,7.43,0.29,0.3,25.62
Hybrid #9, Front Range Biosciences,Illinois, Kane,726, Oct 7,2020,10.72,0.34,0.49,31.47
Hybrid #9, Front Range Biosciences,Wisconsin, Walworth,674, Oct 1,2020,6.06,0.24,0.27,25.78
Hybrid #9, Front Range Biosciences,Wisconsin, Fond du Lac,390, Sep 9,2020,2.91,0.14,0.16,20.11
Hybrid #9, Front Range Biosciences,Wisconsin, Columbia,566, Sep 21,2020,5.52,0.21,0.35,25.82
Hybrid #9, Front Range Biosciences,Wisconsin, Walworth,529, Sep 17,2020,4.06,0.19,0.27,21.91
Hybrid #9, Front Range Biosciences,Illinois, Kane,654, Sep 28,2020,8.01,0.31,0.32,26.23
Hybrid #9, Front Range Biosciences,Illinois, Kane,361, Aug 31,2020,2.22,0.11,0.14,20.95
Hybrid #9, Front Range Biosciences,Wisconsin, Columbia,74, Oct 5,2020,8.82,0.3,0.4,29.71
ICE CBG, Sulcanna,Illinois, Lee,59, Sep 29,2020,0.74,0.08,3.2,9.58
ICE CBG, Sulcanna,Illinois, Lee,327, Sep 1,2020,0,0.07,2.92,0
ICE CBG, Sulcanna,Illinois, Champaign,579, Sep 23,2020,0,0.11,4.59,0
Letter of Intent, The Plug Supply,Wisconsin, Jefferson,378, Sep 11,2020,8.31,0.34,0.5,24.32
Letter of Intent, The Plug Supply,Wisconsin, Dane,359, Sep 3,2020,2.71,0.13,0.37,20.73
Lifter, Oregon CBD,Illinois, Pike,236, Aug 17,2020,4.65,0.21,0.13,21.73
Lifter, Oregon CBD,Wisconsin, Manitowoc,452, Sep 14,2020,12.55,0.46,0.61,27.22
Lifter, Oregon CBD,Wisconsin, Manitowoc,223, Aug 12,2020,3.16,0.15,0.22,20.78
Lifter, Oregon CBD,Wisconsin, Manitowoc,192, Nov 9,2020,11.87,0.43,0.22,27.82
Lifter, Oregon CBD,Wisconsin, Manitowoc,382, Sep 8,2020,11.45,0.43,0.55,26.9
Lifter, Oregon CBD,Wisconsin, Manitowoc,22, Sep 21,2020,14.9,0.57,0.56,26.12
Lifter, Oregon CBD,Wisconsin, Manitowoc,176, Oct 29,2020,16.18,0.59,0.28,27.35
Lifter, Oregon CBD,Wisconsin, Manitowoc,21, Sep 21,2020,12.54,0.5,0.52,25.16
Lifter, Hemp 4 heros (H4H),Wisconsin, Dodge,595, Sep 24,2020,7.44,0.29,0.42,25.66
Lifter, Oregon CBD,Wisconsin, Manitowoc,20, Sep 21,2020,13.21,0.49,0.44,27.04
Lifter, Oregon CBD,Wisconsin, Manitowoc,320, Aug 30,2020,9.84,0.44,0.44,22.21
Lifter, Oregon CBD,Wisconsin, Manitowoc,160, Oct 19,2020,17.65,0.33,0.42,53.12
Lifter, Oregon CBD,Wisconsin, Manitowoc,317, Aug 30,2020,12.68,0.53,0.25,23.85
Lifter, Hemp 4 heros (H4H),Wisconsin, Dodge,313, Aug 30,2020,2.51,0.12,0.24,20.31
Lifter, Oregon CBD,Wisconsin, Manitowoc,154, Oct 6,2020,13.49,0.48,0.26,27.91
Lifter, Oregon CBD,Illinois, Will,303, Sep 1,2020,6.83,0.33,0.26,20.5
Lifter, Oregon CBD,Illinois, Pike,276, Aug 24,2020,8.7,0.42,0.37,20.84
Magic Bullet (MB), Stoney Branch AgVentures,Illinois, Adams,725, Sep 28,2020,11.75,0.42,0.75,27.9
Magic Bullet (MB), Stoney Branch AgVentures,Illinois, Adams,645, Sep 28,2020,8.07,0.32,0.49,25.41
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,748, Sep 21,2020,0.24,0.09,6.91,2.64
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,639, Sep 28,2020,0.15,0.06,4.41,2.44
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,713, Oct 6,2020,0.54,0.05,6.7,9.82
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,712, Oct 6,2020,0.32,0.08,7.15,3.84
Matterhorn CBG, Fruit Growers Laboratory Inc,Illinois, Piatt,204, Nov 12,2020,0.8,0.02,9.71,50.94
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,199, Nov 11,2020,0.1,0.02,1.47,4.26
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,393, Sep 8,2020,0.33,0.03,5.58,10.54
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,391, Sep 8,2020,0.15,0.05,7.13,3.07
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,641, Sep 28,2020,0.29,0.1,5.79,3.03
Matterhorn CBG, Fruit Growers Laboratory Inc,Illinois, Piatt,510, Sep 14,2020,0.1,0.07,6.04,1.44
Matterhorn CBG, Fruit Growers Laboratory Inc,Illinois, Piatt,508, Sep 14,2020,0.55,0.08,7.91,7.23
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,282, Aug 25,2020,0.06,0.04,1.79,1.48
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,281, Aug 25,2020,0.11,0.07,2.31,1.57
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,280, Aug 25,2020,0.09,0.03,1.94,3.28
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,130, Oct 20,2020,0.53,0.14,8.72,3.8
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,129, Oct 20,2020,0.34,0,5.87, null
Matterhorn CBG, High Grade Hemp Seed,Michigan, Grand Traverse,750, Sep 21,2020,0.56,0.04,6.74,12.72
Maverick, Kayagene,Wisconsin, Columbia,232, Aug 18,2020,3.65,0.15,0.32,23.73
Maverick, Kayagene,Wisconsin, Columbia,14, Sep 14,2020,6.98,0.26,0.34,26.58
Maverick, Kayagene,Wisconsin, Columbia,214, Aug 10,2020,1.83,0.08,0.1,24.09
Maverick, Kayagene,Wisconsin, Columbia,334, Sep 1,2020,5.49,0.21,0.33,25.7
Merlot, High Grade Hemp Seed,Michigan, Grand Traverse,749, Sep 21,2020,9.59,0.35,0.15,27.1
Merlot, High Grade Hemp Seed,Michigan, Grand Traverse,201, Nov 11,2020,2.19,0.63,0.83,3.45
Merlot, High Grade Hemp Seed,Michigan, Grand Traverse,392, Sep 8,2020,6.42,0.28,0.37,23.25
Merlot, High Grade Hemp Seed,Michigan, Grand Traverse,640, Sep 28,2020,8.85,0.37,0.14,24.09
Merlot, High Grade Hemp Seed,Michigan, Grand Traverse,284, Aug 25,2020,2.9,0.14,0.12,20.71
Midwest Strain, Jupiter Ag Seed,Wisconsin, Crawford,193, Nov 11,2020,11.15,0.39,0.16,28.9
Midwest Strain, Jupiter Ag Seed,Wisconsin, Jefferson,377, Sep 11,2020,4.55,0.2,0.2,23.31
Midwest Strain, Jupiter Ag Seed,Wisconsin, Crawford,183, Nov 2,2020,11.75,0.4,0.16,29.22
Midwest Strain, Jupiter Ag Seed,Wisconsin, Crawford,555, Sep 21,2020,6.12,0.23,0.21,26.22
Midwest Strain, Jupiter Ag Seed,Wisconsin, Crawford,647, Sep 29,2020,8.76,0.33,0.35,26.87
Midwest Strain, Jupiter Ag Seed,Wisconsin, Crawford,646, Sep 29,2020,8.68,0.34,0.32,25.65
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,747, Oct 15,2020,6.56,0.22,0.05,29.47
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,683, Oct 2,2020,5.62,0.2,0.17,28.79
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,619, Sep 25,2020,3.87,0.16,0.07,24.35
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,414, Sep 10,2020,1.92,0.1,0.03,18.63
Mountain Mango, Cheyenne Mountain Seed Company,Indiana, Starke,406, Sep 8,2020,1.71,0.1,0,17.43
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,365, Sep 4,2020,1.56,0.09,0.08,17.56
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,538, Sep 17,2020,1.71,0.08,0.1,22.7
Mountain Mango, Cheyenne Mountain Seed Company,Indiana, Starke,297, Aug 26,2020,1.76,0.11,0,16.25
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,293, Aug 27,2020,1.76,0.09,0.05,19.43
Mountain Mango, Cheyenne Mountain Seed Company,Wisconsin, Waukesha,131, Oct 22,2020,6.59,0.21,0.03,31.14
Nepalese Tonic, High Alpine Genetics,Indiana, Delaware,476, Sep 14,2020,8.46,0.34,0.15,24.92
Nepalese Tonic, High Alpine Genetics,Indiana, Delaware,401, Sep 8,2020,6.73,0.28,0.13,24.08
Nepalese Tonic, High Alpine Genetics,Indiana, Delaware,271, Aug 24,2020,3.05,0.14,0.03,21.71
Oregon Watermelon, FBHS LLC,Wisconsin, Lafayette,491, Sep 14,2020,2.48,0.15,0.12,16.94
Oregon Watermelon, FBHS LLC,Wisconsin, Lafayette,635, Sep 28,2020,2.99,0.12,0.18,24.5
Otto 2 x AC/DC, Winter Fox Farms,Illinois, Will,309, Sep 1,2020,1.71,0.71,0.06,2.39
Otto 2 x BaOx, AgraPharm,Wisconsin, Grant,753, Oct 1,2020,2.53,0.26,0.17,9.63
Otto 2 x BaOx, Colorado Breeders Company,Wisconsin, Dunn,240, Aug 20,2020,2.8,0.13,0.22,21.65
Otto 2 x BaOx, Colorado Breeders Company,Wisconsin, Dunn,239, Aug 20,2020,2.4,0.28,0.11,8.62
Otto 2 x BaOx, Colorado Breeders Company,Wisconsin, Dunn,208, Aug 6,2020,2.64,0.08,0.3,34.44
Otto II Stout, Kifcure,Wisconsin, Walworth,716, Oct 7,2020,4.45,0.17,0.34,25.99
Otto II Stout, Kifcure,Wisconsin, Columbia,434, Sep 11,2020,5.26,0.21,0.2,24.66
Otto II Stout, Kifcure,Wisconsin, Walworth,613, Sep 24,2020,5.22,0.22,0.39,23.24
Otto II Stout, Kifcure,Wisconsin, Walworth,140, Oct 22,2020,5.37,0.18,0.28,30.56
Otto II Stout, Kifcure,Wisconsin, Columbia,34, Sep 21,2020,2.11,0.09,0.16,23.41
Otto II Stout, Kifcure,Wisconsin, Columbia,260, Aug 24,2020,1.75,0.09,0.08,20.29
Painted Lady, Davis Hemp Farms,Wisconsin, Walworth,118, Oct 15,2020,6.81,0.24,0.35,28.26
Painted Lady, Davis Hemp Farms,Wisconsin, Columbia,429, Sep 11,2020,2.57,0.1,0.07,25.97
Painted Lady, Davis Hemp Farms,Wisconsin, Walworth,670, Oct 1,2020,5.16,0.2,0.25,25.61
Painted Lady, Davis Hemp Farms,Wisconsin, Walworth,524, Sep 17,2020,2.19,0.14,0.19,15.8
Painted Lady, Davis Hemp Farms,Wisconsin, Columbia,565, Sep 21,2020,3.55,0.14,0.26,25.04
Painted Lady, Davis Hemp Farms,Wisconsin, Columbia,75, Oct 5,2020,7.22,0.25,0.34,29.03
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,247, Aug 20,2020,0,0,3.68, null
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,220, Aug 11,2020,0,0,2.35, null
Panakeia, Front Range Biosciences,Wisconsin, Columbia,440, Sep 11,2020,0,0.03,6.44,0
Panakeia, Front Range Biosciences,Wisconsin, Columbia,216, Aug 10,2020,0,0,2.14, null
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,386, Sep 9,2020,0.03,0,8.48, null
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,156, Oct 13,2020,0,0.05,7.89,0
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,18, Sep 17,2020,0,0.02,7.05,0
Panakeia, Front Range Biosciences,Wisconsin, Fond du Lac,148, Sep 24,2020,0.04,0.04,6.96,1
Panakeia, Front Range Biosciences,Wisconsin, Walworth,289, Aug 27,2020,0.02,0,4.55, null
Panakeia, Front Range Biosciences,Wisconsin, Columbia,267, Aug 24,2020,0,0.02,3.47,0
Panakeia, Front Range Biosciences,Wisconsin, Walworth,9, Sep 11,2020,0.03,0.03,7.56,1.07
